"","i","j","diff_mean"
"362","Ber12Cit","She12Com",0.0678588418343772
"1200","Gab99Qua","Mor13Tow",0.0680563018265913
"850","Del04Con","Soo05Reg",0.0680605462467306
"587","Bre00Cyb","Sch12Reg",0.0682183406404642
"1117","Faz15Jou","Nis08Jou",0.068320682399509
"282","Bat01Urb","Kum14Jou",0.0684722014488651
"840","Del04Con","Par83Jou",0.0685100105054353
"1360","Gon10Jou","Nis08Jou",0.0685187716608169
"1531","Iye13Eur","Mod15Qua",0.0685548297518256
"1558","Kam90Jou","Li_16Wor",0.0686206938203532
"1520","Iye13Eur","Kam90Jou",0.0686749954795603
"730","Cie16Mis","Mal80Env",0.0688959574984779
"683","Cam90Jou","Mor13Tow",0.0690285347098283
"411","Bla03Jou","Oka79Reg",0.0690771463539903
"954","Eec04The","Ezz15Rev",0.069562980469982
"904","Del13Eur","Ziq16Asi",0.0699119816707658
"506","Bra99Jou","Ign15Dis",0.0699418443880207
"514","Bra99Jou","Li_16Wor",0.0701139924573172
"604","Bre15Int","Ezz15Rev",0.0701144770884031
"1614","Knu01Ame","XuZ09Urb",0.0701952141697127
"1284","Gan13Eco","Oka79Reg",0.0705314203216573
"942","Dim09Urb","Ros80Jou",0.0705563292406294
"652","Cam90Jou","Del04Con",0.0706813306113313
"231","Ara14Eco","Mor13Tow",0.0708159583723136
"1543","Iye13Eur","Roz11Ame",0.0709730004763024
"803","Cra05Con","Ven13Oec",0.071035820730375
"1928","Nis08Jou","Oka79Reg",0.0712618015063965
"1994","Pen10Phy","Sch12Reg",0.071480097811567
"1904","Mor13Tow","Soo05Reg",0.071649319074429
"813","Del04Con","Gab99Qua",0.0716535634945683
"322","Ber12Cit","Eec04The",0.0719452333595395
"383","Bla03Jou","Faz15Jou",0.0720182654608778
"970","Eec04The","Kru96Jou",0.0722693109872851
"1236","Gan06Eco","Mal80Env",0.0725418308106168
"826","Del04Con","Kru96Jou",0.0726257963778053
"1304","Gie10Jou","Hol10Nat",0.072915385299819
"319","Ber12Cit","Del04Con",0.072949874005551
"957","Eec04The","Gab99Qua",0.0732415438705221
"1542","Iye13Eur","Ros80Jou",0.0733341374784494
"842","Del04Con","Pen10Phy",0.0733501940279743
"1094","Faz15Jou","Gan13Eco",0.0734725394285448
"1968","Par83Jou","She12Com",0.0736010426766091
"485","Bra99Jou","Bre00Cyb",0.0737276603121406
"1749","Li_16Wor","Son02Urb",0.0737868722384349
"2041","Roz11Ame","Sua80Jou",0.0738896991260135
"196","Ara14Eco","Bre15Int",0.0740467412300023
"1848","Mir86Urb","XuZ09Urb",0.0740841457026609
