"","i","j","cosSim"
"576","Alp89Jou","Gon10Jou",1
"577","Alp89Jou","Hol10Nat",1
"578","Alp89Jou","Pen10Phy",1
"579","Alp89Jou","Gab11Jou",1
"580","Alp89Jou","Roz11Ame",1
"581","Alp89Jou","Arr12Reg",1
"582","Alp89Jou","Ber12Cit",1
"583","Alp89Jou","Gul12Age",1
"584","Alp89Jou","Sch12Reg",1
"585","Alp89Jou","She12Com",1
"586","Alp89Jou","Del13Eur",1
"587","Alp89Jou","Gan13Eco",1
"588","Alp89Jou","Iye13Eur",1
"589","Alp89Jou","Mor13Tex",1
"590","Alp89Jou","Mor13Tow",1
"591","Alp89Jou","Ven13Oec",1
"592","Alp89Jou","Ama14Int",1
"593","Alp89Jou","Ara14Eco",1
"594","Alp89Jou","Kum14Jou",1
"595","Alp89Jou","Luc14Eco",1
"596","Alp89Jou","Bre15Int",1
"597","Alp89Jou","Ezz15Rev",1
"598","Alp89Jou","Faz15Jou",1
"599","Alp89Jou","Ign15Dis",1
"600","Alp89Jou","Mod15Qua",1
"601","Alp89Jou","Pum15Cyb",1
"602","Alp89Jou","Cie16Mis",1
"603","Alp89Jou","Li_16Wor",1
"604","Alp89Jou","Man16Reg",1
"605","Alp89Jou","Ziq16Asi",1
"606","Cam90Jou","Kam90Jou",1
"607","Cam90Jou","Gue95Urb",1
"608","Cam90Jou","Kru96Jou",1
"609","Cam90Jou","Kra98Urb",1
"610","Cam90Jou","Bra99Jou",1
"611","Cam90Jou","Gab99Qua",1
"612","Cam90Jou","Bre00Cyb",1
"613","Cam90Jou","Bat01Urb",1
"614","Cam90Jou","Knu01Ame",1
"615","Cam90Jou","Son02Urb",1
"616","Cam90Jou","Bla03Jou",1
"617","Cam90Jou","Nau03Jou",1
"618","Cam90Jou","Del04Con",1
"619","Cam90Jou","Eec04The",1
"620","Cam90Jou","And05Reg",1
"621","Cam90Jou","Cra05Con",1
"622","Cam90Jou","Soo05Reg",1
"623","Cam90Jou","Gan06Eco",1
"624","Cam90Jou","Soo07Urb",1
"625","Cam90Jou","Bos08Reg",1
"626","Cam90Jou","LeG08Emp",1
"627","Cam90Jou","Nis08Jou",1
"628","Cam90Jou","Dim09Urb",1
"629","Cam90Jou","XuZ09Urb",1
"630","Cam90Jou","Gie10Jou",1
"631","Cam90Jou","Gon10Jou",1
"632","Cam90Jou","Hol10Nat",1
"633","Cam90Jou","Pen10Phy",1
"634","Cam90Jou","Gab11Jou",1
"635","Cam90Jou","Roz11Ame",1
"636","Cam90Jou","Arr12Reg",1
"637","Cam90Jou","Ber12Cit",1
"638","Cam90Jou","Gul12Age",1
"639","Cam90Jou","Sch12Reg",1
"640","Cam90Jou","She12Com",1
"641","Cam90Jou","Del13Eur",1
"642","Cam90Jou","Gan13Eco",1
"643","Cam90Jou","Iye13Eur",1
"644","Cam90Jou","Mor13Tex",1
"645","Cam90Jou","Mor13Tow",1
"646","Cam90Jou","Ven13Oec",1
"647","Cam90Jou","Ama14Int",1
"648","Cam90Jou","Ara14Eco",1
"649","Cam90Jou","Kum14Jou",1
"650","Cam90Jou","Luc14Eco",1
"651","Cam90Jou","Bre15Int",1
"652","Cam90Jou","Ezz15Rev",1
"653","Cam90Jou","Faz15Jou",1
"654","Cam90Jou","Ign15Dis",1
"655","Cam90Jou","Mod15Qua",1
"656","Cam90Jou","Pum15Cyb",1
"657","Cam90Jou","Cie16Mis",1
"658","Cam90Jou","Li_16Wor",1
"659","Cam90Jou","Man16Reg",1
"660","Cam90Jou","Ziq16Asi",1
"661","Kam90Jou","Gue95Urb",1
"662","Kam90Jou","Kru96Jou",1
"663","Kam90Jou","Kra98Urb",1
"664","Kam90Jou","Bra99Jou",1
"665","Kam90Jou","Gab99Qua",1
"666","Kam90Jou","Bre00Cyb",1
"667","Kam90Jou","Bat01Urb",1
"668","Kam90Jou","Knu01Ame",1
"669","Kam90Jou","Son02Urb",1
"670","Kam90Jou","Bla03Jou",1
"671","Kam90Jou","Nau03Jou",1
"672","Kam90Jou","Del04Con",1
"673","Kam90Jou","Eec04The",1
"674","Kam90Jou","And05Reg",1
"675","Kam90Jou","Cra05Con",1
"676","Kam90Jou","Soo05Reg",1
"677","Kam90Jou","Gan06Eco",1
"678","Kam90Jou","Soo07Urb",1
"679","Kam90Jou","Bos08Reg",1
"680","Kam90Jou","LeG08Emp",1
"681","Kam90Jou","Nis08Jou",1
